comment_bn,comment_en,source,arrogance_label,category
আমরা বলদা নায়োক হিসেবে  চিনি সুধু জায়েদ রে,"We know him as Bulldog Naok, Sudhu Zayed Ray.",News portal,Arrogant,Contempt & Condescension
নাইচ ভাই ভাবি,Think about it.,YouTube,Non-arrogant,
ভালোবাসার আপুটা,It's the love of life.,YouTube,Non-arrogant,
ঠেলার নাম বাবাজি ... !,Thela's name is Babaji!,YouTube,Non-arrogant,
শাকিব খান এর ছেয়ে ভালো সে তো আরো বড় পাগলের হিরো,He's better than Shaqib Khan's son. He's a bigger hero than the madman.,YouTube,Non-arrogant,
তোরে কুকুর দিয়ে পোঙ্গা মারতে হবে তাহলে তুই আর এই ধরনের মন্তব্য করা থেকে বিরত থাকবি শয়তান,"You're gonna have to punch your dog, so you and I don't have to make that kind of comment, devil.",Facebook,Non-arrogant,
এখানে আল্লাহ তায়ালার নামের সাথে খারাপ ভাষা প্রকাশ করা হয়েছে!তাই প্লিজ কমেন্ট টি ডিলেট করুন! ধন্যবাদ,"This is a bad language in the name of Allah Ta'ala, so please delete the comment!",News portal,Non-arrogant,
"তুমিতো তোমার বাবা মার যায়েজ সহবাস থেকে হইছো,কিন্তু তুমি কি দেখছো তাদের মিলন?যদি না দেখো,তাহলে কিভাবে তারা তোমার জন্মদাতা পিতামাতা হবে?তুমিতো তাহলে সানি লিওন আর জনি সিন্স এর মিলনেও হইছো কিনা আমার সন্দেহ লাগে","You've been living with your parents since you were a teenager, but what do you see when they meet? If you don't see them, how can they be your biological parents?",Facebook,Arrogant,Mixed / Other Arrogance
ভাই ৭১ টিভি চ্যানেল বন্ধ করে দিলে বাংলাদেশে আর কোন নাস্তিক থাকবে না।,"If Brother 71 shut down TV channels, there will be no more atheists in Bangladesh.",YouTube,Non-arrogant,
মাশাআল্লাহ আজ অনেক সুন্দর লাগছে,Mashallah looks so beautiful today.,YouTube,Non-arrogant,
আপনার ভাল কাজগুলোই আপনাকে অসাধারণ করেছে।,Your good deeds have made you great.,News portal,Non-arrogant,
আলহামদুলিল্লাহ জয় বাংলা  ❤,Alhamdullilah Jay Bengali ❤,YouTube,Non-arrogant,
অফুরন্ত ভালো বাসা থাকবেই।,There will be never-ending homes.,YouTube,Non-arrogant,
"ভাই,পরিবেশটা সুন্দর না।","Dude, it's not a nice place.",YouTube,Non-arrogant,
মি টু সাকিব্বা,Me to Sakibba,YouTube,Non-arrogant,
"সে নাকি পরকালকে বিশ্বাস করেনাসে না দেখা জিনিস কে ও বিশ্বাস করেনা। সে ছোট পর্দায় বড় বড় অভিনয় করে তার কোনো জন্ম পরিচয় নাই, কারন সে না দেখা জিনিস কে বিশ্বাস করেনা তার জন্ম কে দিছে সেটা সে দেখেনাই নাই তার বাবা কে সেটা সে নিজেও জানেনা,, এক কথায় অবৈধ সন্তান। সাফা কবিরের সব নাটক  বর্জন করুন।","He does not believe in the afterlife, and he does not believe in what he does not see, and he does not believe in the afterlife, and he does not believe in what he does not see, because he does not believe in what he does not see, because he does not see who gave birth to him, and he does not even know his father.",YouTube,Arrogant,Mixed / Other Arrogance
"নতুন নতুন নাস্তিক দের দেখা মিলছে,ওকে সবাই বয়কোট করি।","We're meeting new atheists, and we're boycotting them.",YouTube,Non-arrogant,
ছাগীর ঘরের মুরগী চোরের ফুড়ী,A chicken thief's whistle,News portal,Non-arrogant,
সত্যটা উপলব্ধি করতে পারায় তোমাকে অনেক অনেক ধন্যবাদ বোন।,"Thank you so much for understanding the truth, sister.",News portal,Non-arrogant,
তুমি তো নাস্তিক। আল্লাহর নিকট দোআ করি আল্লাহ যেন তুমাকে হেদায়েত দান করেন।,You're an atheist. Pray to God to guide you.,Facebook,Non-arrogant,
তুমি মাগি,You are magical.,YouTube,Non-arrogant,
এসব নাস্তিক কে বাংলাদেশ থেকে জুতা মেরে।জুতার মালা গলায় জুলিয়ে বিতারিত করা হউক।তুই তো আল্লাহ কে ভয় করিস না বরং ক্যারিয়ার হারাবার ভয় করিস।,"These atheists should be kicked out of Bangladesh and thrown out of the country. You're not afraid of God, you're afraid of losing your career.",YouTube,Non-arrogant,
"অাপনি থাকুন অসহায় মানুষের পাশে,অাল্লাহ থাকবে অাপনার পাশে।মহতি কাজের জন্য ধন্যবাদ।","Stay with the poor, God will be with you. Thank you for your hard work.",News portal,Non-arrogant,
পাগল ছাগল হিরো আলেমদের কারণে বাংলাদেশী চলচিত্র একটা হাসির পাত্র হিসেবে পরিচিতি লাভ করেছে ভিধিসিদের কাছে !আসলে অহংকারনা নয় সৃষ্টি কর্তা সবাইকে ই সৃষ্টি করেছেন অনেক ভালবেসে !তবে প্রত্যেক এর জায়গা বা স্থান ভিন্ন !যার জায়গায় তাকেই মানায় !তবে হিরো আলম হারুন কেসিঞ্জারদের সাথে বেশ ভাল মানিয়েতো !আমার কোথায় কেহ অন্নবাবে নিবেন না plz,"The Mad Goat is a film that has become a laughingstock for the Buddhists because of its heroic genius. It is not pride, but it is created by the creator with great love. But everyone has a different place or place.",News portal,Arrogant,Contempt & Condescension
খাদিজা আক্তার তুই তো নিজেই জারজ,"Khadija Akhtar, you are the same.",Facebook,Non-arrogant,
চোরে দল কয় কি ?,What's a band of thieves?,News portal,Non-arrogant,
ওরে বাটপার ।।,He's a butcher.,YouTube,Non-arrogant,
মিথিলারে দেখতে বলেন,Tell him to look.,YouTube,Non-arrogant,
মাগি কানকি ভাইরাল হবি?,Maggie Cankey is going viral?,Facebook,Non-arrogant,
ওনার একটা কথা চিরসত্য সাফল্য পৌঁছাতে হলে চেহারা নয় মনবলই যথেষ্ঠ,"One word of his is enough to achieve true success, not a face, but a heart.",YouTube,Non-arrogant,
প্রথমত আপনি একজন নায়িকা।  দেহ দেখিয়ে চলেন...সব পেশার modde এটাই সবচেয়ে বাজে একটা পেশা..এজন্য আপনি আল্লাহ এর কাছে একজন বেয়াদব বেহায়া একটা নারী।। তারপর আপনি বলেন আপনি পরকাল বিসসাস করেন না এ দিক দিয়ে আপনি একজন কাফির।। আপনি কিভাবে ভাবতে পারেন আল্লাহ আপনাকে মাফ করে দিবে!!!!!  হাসসকর একটা কথা!!,"First, you're a heroine. First, you're a heroine. First, you show off your body. This is the worst profession in the world. That's why you're a bad woman in God's eyes.",Facebook,Arrogant,Mixed / Other Arrogance
"হিন্দুরা বাধ্য হয়ে দেশ ছাড়লে আমরাও ব্যথিত হই কিন্তু তারা ইচ্ছা করে দেশ ছাড়লে,আমাদের তো কিছুই করার নেই। আমরা যারা মুক্তিযুদ্ধের আদর্শে বিশ্বাসি, তারা তো চাই আপনারা আর আমরা গলা জড়াইয়া একসাথে থাকি। সেই সম্পর্কে কিছুটা হলেও বিষ মিশাইয়া সম্পর্ক তেতো তুলছে,ঐ যুদ্ধাপরাধী থেকে আগতরা। ওদের সাথে তো,আমরা একমত না। আমাদের সরকার এত সময় শতভাগ অসাম্প্রদায়িক ছিল,কোন সন্দেহ নেই। কিন্তু ইদানিং কিছু হটকারি ডুকে সেই ইমেজ নষ্ট করে দিছে। আমরা অনেকেই এর বিরুদ্ধে। কিন্তু আপনার কথাবার্তা দেশের পক্ষে,দেশের এই সরকারের ভালো দিকগুলো তুলে ধরতে না পারলে,আপনি স্বার্থক হবেন...? এমন কথা বলবেন,যেন আমরা সকলে বলতে পারি,শাড়ির পরিচালক সত্য কথা বলছে। দেখেছেন,আমাদের নেত্রী কত ভালো উদার। আপনার ব্যাখ্যা না শোনা পর্যন্ত কোন মামলা করতে নিষেধ করছেন। এর অর্থ আপনাকে বুঝতে হবে।","We are saddened when Hindus are forced to leave the country, but when they leave the country willingly, we have nothing to do. We who believe in the ideals of liberation, want you and us to be together. We have a little bit of a poison mixed up in that, even from the war criminals. With them, we disagree. Our government has been 100 percent unconventional, no doubt.",News portal,Arrogant,Dominance & Entitlement
ভালো কথা,That's good.,Facebook,Non-arrogant,
পুটকি মাইরা হোগা ছাদে উটাইছে,Poochie Mia is flying on the roof.,YouTube,Non-arrogant,
কমেন্ট করুন দলে দলে জুতা মারুন তালে তালে,Comment on the team. Shoes on the team.,Facebook,Non-arrogant,
সাকিব ভাই কই,Where is Sakib?,News portal,Non-arrogant,
"বোকাচোদা দেশে ৩ হাজারের উপর করোনাভাইরাসে আক্রান্ত আর তোমার মনে হচ্ছে গুজব, ,,,,,দেশে লগডাউন চলছে ,,,তোমার মুভি দেখে এখন মানুষ হোগা মারা দিবি","There's over 3,000 cases of the coronavirus in a stupid country and you're hearing rumors that there's a lockdown in the country and people are gonna die watching your movie.",YouTube,Non-arrogant,
ল্যাংটা ভুতুনি,Lanta is a ghost.,YouTube,Non-arrogant,
আমার সৌন্দর্যের কাছে সবাই মুগ্ধ। তোমার সাথে তুলনা করো না,Everyone is fascinated by my beauty.,AI,Arrogant,Superiority & Self-Importance
"পতিতাপাড়ায় আসার আগে নিজের ইজ্জত হারাইছো!এখন ঈমানটাও হারাইলা!!তোমার মত কয়েকজন নাস্তিক পরকালে বিশ্বাস না রাখলে,তাতে আল্লাহর কিছু আসে যায়না।",You lost your dignity before you became a prostitute! Now you've lost your faith!,YouTube,Non-arrogant,
বিয়া দপ পাগল পাগল চোূাূদা,"I'm going to marry you, you crazy bitch.",News portal,Non-arrogant,
মারানি একটা নাস্তিকের বাচ্চা,Marani is an atheist child.,News portal,Non-arrogant,
"সাফা কবির যাকে দেখে পোলাপান crush খাইতোসেই তারে দেখে পোলাপান এখন কাশ ফালায় অারে হিন্দু জাতি রাও তো অাগের,জনম এই জমন পরের জনম বিশ্বাস করে ওরা ইশ্বর ভগবান কে না দেখে পূজা করে খিস্টান তাদের গড কে না দেখে গীর্জায় প্রার্থনা করে বৌদ্ধরা গৌতম বুদ্ধ কে কজন দেখেছে অার সাফা কবির অাপনি মুসলিম কন্যা হয়ে নাস্তিকের সন্তানের মত কথা বলেন কি করে বলেন পরকালে বিশ্বাস করেন না বলছেন যেটা না,দেখেন সেটা বিশ্বাস করেন না তাহলে তো অাপনি অাল্লাহ অাছেন সেটাও বিশ্বাস করেন না...","When Safa poet saw Pollapane crushed, he saw Pollapane now in Kash Phalai, the Hindu nation Rao is coming, born this next generation believes they worship without seeing God, Christians worship without seeing their god, Buddhists see Gautama Buddha, and they talk about how Safa poet, being a Muslim daughter of an atheist, speaks of the afterlife.",YouTube,Arrogant,Knowledge & Moral Superiority
বিউটি ফুল,Beautiful flowers,YouTube,Non-arrogant,
সোশ্যাল মিডিয়ায় লাইক কমেন্ট পাওয়ার পিছনে মানুষেরা এত পাগল হয়েছে যে তারা নিজেদের মর্যাদা ভুলে যায়,People are so crazy about getting likes on social media that they forget their status.,AI,Non-arrogant,
তুই পরকাল কি বুজচ তুই হলি মাগি তুর লেখা পরা কি আছে বাংলা আর ইংলিশ,You're the next big thing. You're the next big thing. You're the next big thing.,Facebook,Non-arrogant,
তুই জারজ,You are George.,YouTube,Non-arrogant,
জয় ভাই কে ধন্যবাদ,Thanks to Brother Jay.,News portal,Non-arrogant,
লজিক ১-আমি সাফার সম্পূর্ণ শরীর দেখি নাই সুতরাং ইনি আদৌও মেয়ে কিনা আমার সন্দেহ আছে!লজিক ২-আপনার পয়দা কে করেছিলো আপনি তা দেখেন নি!তাহলে আপনি আপনার বাবাকে কিভাবে বিশ্বাস করেন যে এর দ্বারাই আপনি দুনিয়াতে এসেছেন?তার মানে আপনি জারজ!লজিক ৩-অক্সিজেন বাতাস দেখা যায় না তারমানে এগুলার কোন অস্তিত্ব নাই!লজিক ৫- আপনার মধ্যে একজন মানুষের পরিচয় দেখা যায় না সুতরাং আপনি একজন নাস্তিক।,"Logic 1: I haven't seen the whole body of Safa, so I doubt if she's a girl. Logic 2: You haven't seen who made you. So how do you believe your father that you came to this world?",Facebook,Arrogant,Knowledge & Moral Superiority
"আমি মনে করি যার যার বিশ্বাস তার কাছে সেটা দেখার দরকার আমাদের না যে যা বিশ্বাস করবে বা যে যা কর্ম করবে সে অনুযায়ী সে ফল পাবে যেরকম একজন মানুষরে গালি দিয়ে ট্রল করতেছে কিছু লোক তাদের ফল তারা পাবে আর ওনি কি বিশ্বাস করবে কি করবেনা সেটা তার নিজস্ব বিষয় সে যদি মুসলিম হয়ে থাকে তাহলে অবশ্যই পরকাল বিশ্বাস করবে নাহলে সে মুসলিম না ইমান আনার ক্ষেএে পরকাল একটা বিষয় এটা যে বিশ্বাস করেনা তার ইমান নাই সে মুসলিম হতে পারেনা মুসলিম পরিবারে জন্ম নিয়ে হয়ত সে নামে মুসলিম আর সে যদি মনে করে তার ভুল বুঝতে পারে সে ভুল করছে এবং সে ক্ষমা চাই আল্লাহর কাছে তাহলে ওরে ক্ষমা করা আর না করা ওটা আল্লাহর কাছে সবাই এভাবে গালিগালাজ করে নিজেদের পাপ বাড়ানোর কোন মানেই হয়না উচিত কথা কইতে গেলে কইব এখানে হুজুর আইছে কেউ যদি ইসলাম ধর্মের কোন জিনিস বিশ্বাস না করে তাহলে তারে গালি দিবার কথা কুরআনে বা কোথাও লিখা নাই যারা গালি দিতেছে তারা নিজেরাও পাপই করতেছে সাফা কবির ওনি বলছে সে যা দেখেনা না বিশ্বাস করেনা ত ওনার বাপ মা যে ওনারে জন্ম দিছে সেটাওত সে দেখেনি তাহলে ওরা যে তার বাবা মা সেটা বিশ্বাস করে কিভাবে,","I don't think that the person who believes has to see that what he believes or what he does is what he gets, just like a person who trolls on a man, some people get their reward, and whether he believes or doesn't believe is up to him. If he's a Muslim, then he's going to believe in the afterlife.",Facebook,Arrogant,Mixed / Other Arrogance
সালা৷  পাগল৷  জা৷ হি৷ দ৷৷,Sala. It's crazy. It's crazy. It's crazy. It's crazy.,YouTube,Non-arrogant,
আপনাকে সান্ত্বনা দেয়ার ভাষা আমার জানা নেই।শুধু এইটা বলতে চাই।কিছু কিছু মনের ভাব প্রকাশ করতে নেই।যদি করেন তাহলে অনেক প্রশ্নে সম্মুখীন হতে হয়।বাংলাদেশের কিছু কিছু মানুষ ছাগলের তিন নম্বর বাচ্চার মতো।বুঝার আগেই জ্ঞানী হয়ে যায়।এতো চিন্তা করলে জীবন চলে না।মনের কথা প্রকাশ করাটাই জীবনের স্বার্থকতা পাওয়া যায়।ধন্যবাদ।ভালো থাকবেন।,"I don't know the language to comfort you. I just want to say this. Don't express your thoughts. If you do, you have to face many questions. Some people in Bangladesh are like goat number three. They become wise before they know it.",News portal,Arrogant,Contempt & Condescension
সুবাহানাল্লাহ,Subhanahu wa ta'ala,YouTube,Non-arrogant,
তাহলে তোর জন্ম কি ভাবে হয়েছে সেটাকি তুই বিশ্বাস করিস নাচতিকের বাচ্চা,So how did you get born? You believe in a dancer's son.,News portal,Arrogant,Contempt & Condescension
নিচ্চয় তুই নাস্তিক মুরাদ,"You are an atheist, Murad.",YouTube,Non-arrogant,
"ওরে আপু বলার কি আছে? ওই ফালতু রে আপু ডেকে আপু শব্দটার মান কমানোর কনো প্রয়োজন মনে করি না,,,, জারজ সন্তান একটা,,","I don't think there's any need to diminish the meaning of the word ""you"" by calling you that idiot.",YouTube,Non-arrogant,
"আপনি কই,  স্যার ত্রান সব চোরে খার","Where are you, Sir Tran?",Facebook,Non-arrogant,
ধুর খানকি মাগি ...,Fucking witch...,YouTube,Non-arrogant,
খানকিমাগি মাস্ক কই?,Where is the Kankimagi mask?,Facebook,Non-arrogant,
"যাদের সিটে বাচ্চা আছে,,তারা কোলে নেন,,পাবলিক দের বসতে দেন।","Those who have children in their seats, they take them in their arms, they let the public sit.",News portal,Arrogant,Contempt & Condescension
অসাধারণ হয়েছে ভাই,"That's great, brother.",News portal,Non-arrogant,
কে আস্তিক আর কে নাস্তিক এটা শুধু আল্লাহ জানেন। আর নাস্তিকে শাস্তি দিলে সে দিবেন।,"Only God knows who's atheist and who's atheist, and if he punishes the atheist, he'll punish him.",Facebook,Non-arrogant,
এইটা পাগলামী চারা আর কিচু না কারণ এত নায়ক হের কুনু পরজায় হি পরেনা,"It's not crazy anymore, because so many heroes don't wear their cloaks.",YouTube,Non-arrogant,
শয়তানকে আটক করেনা কেনো?,Why don't you stop the devil?,News portal,Non-arrogant,
পরকালের উপর ঈমান না হলে তুই তো নাস্তিক।,"If you don't believe in the afterlife, you're an atheist.",YouTube,Non-arrogant,
"শালী মাগী তর না একহান জামাই আছে...?ওরে বেশি করে শরীর দেখা,মুসলিম দেশে বেহায়াপনা কম কর,দেখ আমাগো সোনার বাংলার মানুষ অনেক মরতেছে শুধু তোদের এই লজ্জাহীন বেহায়াপনার গোনাহের জন্য...",Look at all the people of Golden Bengal dying for the sins of your shameful misconduct.,YouTube,Arrogant,Mixed / Other Arrogance
"ওরে বাটপার,,,ওরে বাটপার","Oh, my gosh, my gosh.",YouTube,Non-arrogant,
ইমানি মুফাসসাল মনে হয় উনি জীবনেও পড়েন নি.. পড়লে কিভাবে পরকালে বিশ্বাস থাকবে না.. এখনতো বুঝাই যাচ্ছে পাবলিক রে হুদাই বেকুব বানানোর জন্য এই পোষ্ট দেয়া হইছে...  যেন ময়দান হাত ছাড়া না হয়.. আর একবার হাত ছাড়া হলে ব্যবসায় মন্দা দেখা দিবে তখন হয়তো সর্ট ফিল্ম করার জন্যও কেউ আগ্রহ দেখাবে না,"Imani Mufasaal seems to have never read in her life how there is no belief in the afterlife, but now it seems that this post was made to make the public mind a fool so that the fields will not go hand in hand, and once the business goes down, maybe no one will be interested in making a short film.",Facebook,Arrogant,Contempt & Condescension
এতো খারাপ উপস্থাপনা আমার জীবনে কখনো দেখিনি (,I've never seen such a bad performance in my life.,AI,Non-arrogant,
কমেন্ট পরতে আসছি☺,I'm going to wear a comment.,Facebook,Non-arrogant,
ধন্যবাদ ভাই আপনাদের,"Thank you, brother.",News portal,Non-arrogant,
"কৃষ্ণা করলে লিলা খেলা সাইদি করলে, মজা করে ুমিথ্যা হালা যে কি পরিমান লুচ্চা চিলো এর চেয়ে আী কি প্রামান লাগবে, এরা ধর্ম কে ব্যাবসা বানিয়ে পেলচে","If Krishna plays lily, if he plays lily, if he plays with fun, if he plays with fun, if he plays with fun, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily, if he plays with lily.",YouTube,Arrogant,Contempt & Condescension
তোমারে যদি আমি কাছে পাইতাম পুটকি দিয়ে থুথু ছারা ছুদে দিতাম মাগি।,"If I'd found you, I'd have spit on you with a stick.",Facebook,Non-arrogant,
এতো বাংগালী এবং তথাকথিত নাস্তিক। সে বেশির ভাগ কথায় ইংরেজিতে বলে কোন দেশের জনগণকে বুঝাতে চেয়েছে। যে দেশের জনগণ খুব একটা ইংরেজি বুঝতে পারেনা তাদেরকে কি বুঝাতে চেয়েছে।,"He's a Bengali and so-called atheist, and he's trying to explain to the people of a country, mostly in English, what he's trying to explain to people who don't understand much English.",News portal,Arrogant,Knowledge & Moral Superiority
"তুমি মুসলিম হলে পরকাল বিশ্বাস করতে,তুমি তো নাস্তিক","If you're a Muslim to believe in the afterlife, you're an atheist.",YouTube,Non-arrogant,
"এমন একজন মানুষ কে যারা খারাপ অপবাদ দেয়,তারা শুকরের চেয়ে ও নিকৃষ্ট?কন্ঠে বুঝা যাচ্ছে মহিলা অনেক বৃদ্ধা?আললাহ যেন ওদেরকে সঠিক বুঝ দান করেন আমীন ।",Who is a man that speaketh evil? They are worse than the swine; and the voice of the woman is of old age. God give them understanding. Amen.,YouTube,Non-arrogant,
"তোর উদ্দেশ্য যদি মানুষের কাছে ভালো সাজার জন্য হয়ে থাকে তাহলে আল্লাহ তোকে আরো বেশী করে লাঞ্চনা করবে,অপেক্ষা কর। আর যদি সত্যিই তওবা করে থাকিস তাহলে তো আলহামদুল্লিলাহ, আল্লাহ ভালো জানেন তিনিই ক্ষমা করার মালিক। তবে যেহেতু তুই সবার সামনে বলেছিস তুই বলেছিস আল্লাহকে বিশ্বাস করিসনা, সো তোর উচিত সম্মুখে আবার কালেমা পরে মুসলমান হওয়া, যেহেতু তোর ঈমান চলে গেছে।","And if you are repentant, then Allah knows that He is the Forgiver, and because you said before the people that you do not believe in Allah, then you should be a Muslim again, because your faith has perished.",Facebook,Arrogant,Mixed / Other Arrogance
অবশ্যয় বলেছেন,Of course he did.,News portal,Non-arrogant,
"আমি গালাগালি ভুলে গেছি   নয়তো আপনারে আপু খানকি,বেশ্যা,চুতম্রানি,আসোদা,ভক্সসুদ,ভুস্কি মাগী,সিনাল ইত্যাদি বলে গালি দিতাম","I forgot to laugh or I'd slap you with the names of ""Apu Khanki"", ""Bhaya"", ""Cutmrani"", ""Asoda"", ""Vox Sud"", ""Voski Maggi"", ""Sinal"", and so on.",YouTube,Non-arrogant,
"ডিরেক্টরা নাটক করাবে কি না আপনাকে দিয়ে, আর করালেও মার্কেটে কি পোষাবে আপনাকে দিয়ে নাটক করালে, বিশাল ক্ষতি করে ফেললেন আপনার নিজের ?? পাবলিককে কি পাইছেন, বলদ? তারা আপনার থেকে উচ্চ গ্রাজুয়েশন করে আসা দেশের সম্পদ। ওকে ?? সাফা এখন একটা ঘৃণার নাম বাংলাদেশের প্রত্যেক মুসলিম ভাই বোনদের কাছে, যেখানে ৯০ ভাগ মানুষ মুসলমান। ঈমানের ৭ টা স্তরের মধ্যে পরকালের বিশ্বাস অন্যতম। আরে, এই কুরকান কি জিনিস? এই কুরআনে আল্লাহ সুবহানওতায়ালা ১৪০০ বছর আগে বলেছেন, আমি জ্বীন, ইনসান সৃষ্টি করেছি আমার ইবাদাতের জন্যে। ১৪০০ বছর পর জ্বীন কি দেখেন নাই? জ্বীনের অস্তৃত্ব খুঁজে পান কি না? জ্বীন নামাজ পরে কি না? আল্লাহর ইবাদাত করে কি না? এটাও বিশ্বাস না করলে ইউটিউবে সার্চ দিয়ে দেখেন। কুরআনের কোন কথাকে অস্বীকার করবেন আপনি? ১৪০০ আগে যে কিতাব জ্বীনদের কথা বলে এটা এখন অক্ষরে অক্ষর সত্য বলে প্রমাণিত, মৃত্যুর পরেও আরেক জীবন আছে? এটাও সত্য। আর এটাই হল ঈমান। যদি ভুল হত অদৃশ্য জ্বীনদের কথাও ভুল হত। কিন্তু এ এক এমন কিতাব যা মানব জাতির জন্য হেদায়েত। এখানে পরকালের কথাও বলা আছে। এটাও সত্য। সাফা কবির মুসলমান ঘরের সন্তানের নাম, বাবা","If the directors play with you or don't play with you, and if the market plays with you, what kind of pets do you play with you, you've done a huge damage to your own public? They're the wealth of the country that graduated higher than you. Okay? Safa is now a hateful name for every Muslim brother and sister in Bangladesh, where 90 percent of the population is Muslim.",YouTube,Arrogant,Contempt & Condescension
নতুন পাগল,The new madman.,YouTube,Non-arrogant,
হিরো আলম ভাই সকল মানুষটির মনের আশা পূর্ণ,"Hero Alam Brother, the hearts of all men are filled with hope.",YouTube,Non-arrogant,
আমার কাছে সবাই আমার কাছে ঋণী।,Everyone owes me.,AI,Arrogant,Superiority & Self-Importance
তর শুভেচ্ছার হোগা মারি পাছা দিয়া।।Sorry meye hoye mok karap korar jonno,"I'm sorry, but I'm sorry, but I'm not going to let you go.",YouTube,Non-arrogant,
পাগলা ঘোড়াটাকে নিয়ে আসতাছি তোমার খোলা জানালায় ঘুম পাড়িয়ে দিবো!,I'll bring the crazy horse and put him to sleep in your open window!,News portal,Non-arrogant,
"যাদের পুতুল গুলো নিয়ে সমালোচনা বা সন্দেহ তারা এই ২ টা হাদিস পড়েন।আয়শা (রা.) বলেন, ‘আমি নবী (সা.) এর সামনেই আমার বান্ধবীদের সাথে পুতুল খেলতাম। যখন রাসুলুল্লাহ (সা.) প্রবেশ করতেন, ওরা লুকিয়ে যেতো। তখন নবী (সা.) আমার সাথে খেলার জন্য ওদেরকে ডাকতেন। (বুখারি ৬১৩০)আবু দাউদ ও নাসাঈ অন্য একটি সুত্রে আয়শা (রা.)এর হাদীসটি বর্ণনা করেছেন। উল্লেখিত হাদীসে আয়শা (রা.) বলেন, ‘আল্লাহর রাসুল (সা.) যখন তাবুক বা খায়বারের অভিযান থেকে ফেরেন, তখন আমার ঘরের তাকের পর্দার এক কোণা বাতাসে সরে যায়। ভিতরে যে পুতুল ছিল সেগুলো দেখা যাচ্ছিল। তখন নবী (সা.) প্রশ্ন করেন, ‘এগুলো কী?’ আমি বললাম, ‘আমার পুতুল।’ তিনি দেখলেন, সেগুলোর মধ্যে কাপড়ের তৈরি পাখাবিশিষ্ট একটি ঘোড়া ছিল। তিনি প্রশ্ন করলেন, ‘পাখাওয়ালা ঘোড়া? আমি উত্তর দিলাম, ‘আপনি কি শুনেননি যে সুলাইমান (আ.) এর পাখাওয়ালা ঘোড়া ছিল।’ এ কথা শুনে রাসুলুল্লাহ (সা.) এত হাসলেন যে তার মাড়ির দাঁতও আমি দেখতে পেলাম।","Abu Dawud and Nasa'i in another verse recount the hadith of Aisha. The hadith mentioned by Aisha said, ""I used to play with my girlfriends in front of the Prophet (sa) and when Rasulallah (sa) entered, they would hide. When the Prophet (sa) called them to play with me, he asked them a question about the doll.",News portal,Arrogant,Mixed / Other Arrogance
শুভ নববর্ষ ১৪২৬,Happy new year 1426,News portal,Non-arrogant,
তুইতো নাস্তিক।,You are an atheist.,YouTube,Non-arrogant,
কুত্তা দিয়ে চুদামু তোরে ‍খানকি মাগি✅,I'm gonna fuck you with a bitch.,YouTube,Non-arrogant,
"এরা সব ছাগল জায়েদ খানের দলে যারা আছে, আর হিরু আলম নায়ক সত্যি ও বাস্তব মুখি নায়ক হলো হিরু আলম","These are the goats in Zayed Khan's team, and the hero of Hiru Alam is the real hero of Hiru Alam.",YouTube,Non-arrogant,
বাউতাবাজি,What is the meaning of the word?,YouTube,Non-arrogant,
কমেন্ট ডিলেট করেন কেন?,Why did you delete the comment?,Facebook,Non-arrogant,
এখন কতবার গোসল করল এবং কতবার ভাত খেল কতবার পোশাক চেঞ্জ করলো তারও একটি নিউজ করেন। আবাল গুলো আর কোন নিউজ পায় না?,Now you've got a report on how many times you've bathed and changed your clothes.,YouTube,Non-arrogant,
তারেক জিয়া জিন্দাবাদ,Tarek Jia Zindabad,News portal,Non-arrogant,
সবাই এই নাস্তিক কে বর্জন করুণ,Everybody get rid of this atheist.,Facebook,Non-arrogant,
বাল সাজি হাউয়া শাওন,Bal Saji Hawaa Shaon,YouTube,Non-arrogant,
"উনি নাস্তিক হলে আপনার সমস্যা কি???আপনি গালি দিচ্ছেন কেন?"""""" মন্দের বিপরীতে ভালো ব্যবহার করা""""""এটাই আমার রবের হিক মাহ,,",What's wrong with you if he's an atheist? Why are you making fun of him?,Facebook,Non-arrogant,
আপনি আমার একজন প্রিয় এক্টর ছিলেন.!!! কিন্তু আপনি যে কথা বলছেন তাতে আর নিজেকে ধমায় রাখতে পারি নাই ডিসিশান নিলাম আর আপনার নাটক দেখবো নাসাথে একটু ধিক্কার দিলাম....এটা তো নাস্তিকরাই পারে মানে তুমিও নাস্তিক,"You were one of my favorite actors, but I couldn't stop myself from talking about you, so I took the decision to sell you a play and I was a little upset about it.",Facebook,Arrogant,Knowledge & Moral Superiority
ওর বাবাও নাস্তিক শাহরিয়ার কবির,Her father was also an atheist Saharian poet.,YouTube,Non-arrogant,
"এতো সুন্দর মেয়ে কিভাবে নাস্তিক হয়, যেই আল্লাহ উনাকে এতো সুন্দর করে বানিছে, দুনিয়াতে সেই আল্লাকেই ভুলে গেল, হায়রে নাফরমান",How can a beautiful girl be an atheist who has been made so beautiful by God and forgotten about God in the world?,YouTube,Arrogant,Knowledge & Moral Superiority
